"Quantity","Designator on PCB","Value","Voltage Rating","Digikey Part No.","Price"
"1","C87","100","6","P15316CT-ND","$0.53"
"1","C88","1","50","493-11596-1-ND","$0.46"
"1","C89","1","50","493-11596-1-ND","$0.46"
"1","C90","1","50","493-11596-1-ND","$0.46"
"1","C91","1","50","493-11596-1-ND","$0.46"
"1","C92","1","50","493-11596-1-ND","$0.46"
"1","C93","1","50","493-11596-1-ND","$0.46"
"1","C94","1","50","493-11596-1-ND","$0.46"
"1","C95","1","50","493-11596-1-ND","$0.46"
"1","C96","100","6","P15316CT-ND","$0.53"
"1","C97","100","6","P15316CT-ND","$0.53"
"1","C98","100","6","P15316CT-ND","$0.53"
"1","C99","47","16","P15360CT-ND","$0.53"
"1","C100","100","6","P15316CT-ND","$0.53"
"1","C101","100","6","P15316CT-ND","$0.53"
"1","C102","47","16","P15360CT-ND","$0.53"
"1","C103","100","6","P15316CT-ND","$0.53"
"1","C104","10","16","P5134-ND","$0.20"
"1","C105","100","6","P15316CT-ND","$0.53"
"1","C106","100","6","P15316CT-ND","$0.53"
"1","C109","100","6","P15316CT-ND","$0.53"
"1","C112","100","16","P5134-ND","$0.20"
"1","C113","100","16","P5134-ND","$0.20"
"1","C114","330","6.3","P15310CT-ND","$0.50"
"1","C115","330","6.3","P15310CT-ND","$0.50"
"1","C272","330","6.3","P15310CT-ND","$0.50"
"1","C275","47","16","P15360CT-ND","$0.53"
"1","C283","4.7","25","P13465-ND","$0.30"
"1","C284","4.7","25","P13465-ND","$0.30"
"1","C285","4.7","25","P13465-ND","$0.30"
"1","C286","100","6","P15316CT-ND","$0.53"
"1","C287","22","16","P5135-ND","$0.20"
"1","C288","10","16","P5134-ND","$0.20"
"1","C289","10","16","P5134-ND","$0.20"
"1","C290","4.7","25","P13465-ND","$0.30"
"1","C291","47","16","P15360CT-ND","$0.53"
"1","C292","4.7","25","P13465-ND","$0.30"
"1","C293","4.7","25","P13465-ND","$0.30"
"1","C294","100","6","P15316CT-ND","$0.53"
"1","C295","4.7","25","P13465-ND","$0.30"
"1","C296","22","16","P5135-ND","$0.20"
"1","C297","4.7","25","P13465-ND","$0.30"
"1","C298","47","16","P15360CT-ND","$0.53"
"1","Unknown","4.7","50","P13465-ND","$0.30"
"1","Unknown","4.7","50","P13465-ND","$0.30"
